OrgID,Name,Size,Type,StAdd,City,Zip,County,State,Latitude,Longitude
1646,Visual Communications,Medium,"Broadcasters, Producers, TV, Film & Digital Media",120 Judge John Aiso Street,Los Angeles,90012,Los Angeles,CA,34.05052611,-118.2406327
1651,Reprise Theatre Company,Large,Performing Arts,1575 WESTWOOD BLVD,Los Angeles,90024,Los Angeles,CA,34.05269005,-118.4399006
1654,Floricanto Dance Theatre,Small,Performing Arts,2758 East Orange Grove Blvd.,Pasadena,91107,Los Angeles,CA,34.15813503,-118.0934659
1655,East West Players,Large,Performing Arts,120 N. Judge John Aiso Street,Los Angeles,90012,Los Angeles,CA,34.05052611,-118.2406327
1659,Rosanna Gamson/World Wide,Very Small,Performing Arts,343 Laveta Terrace,Los Angeles,90026,Los Angeles,CA,34.06687751,-118.2598333
1660,Saturday Night Bath Concert Fund,Very Small,Performing Arts,1804 Carnegie Lane #A,Redondo Beach,90278,Los Angeles,CA,33.87067024,-118.3796774
1661,"Los Angeles Chamber Orchestra Society, Inc., The",Large,Performing Arts,"707 Wilshire Blvd., Suite 1850",Los Angeles,90017,Los Angeles,CA,34.04926064,-118.2570236
1662,"Rachel Rosenthal Company, The",Small,Performing Arts,2847 S. Robertson Blvd.,Los Angeles,90034,Los Angeles,CA,34.03592007,-118.3891277
1671,Center for the Study of Political Graphics,Small,Support & Advocacy,8124 West Third Street,Los Angeles,90048,Los Angeles,CA,34.07197962,-118.366767
1683,Los Angeles County Museum of Art,Very Large,"Museums, Visual Arts, History",5905 Wilshire Boulevard,Los Angeles,90036,Los Angeles,CA,34.06372967,-118.3568903
1692,American Museum of Ceramic Art,Large,"Museums, Visual Arts, History",340 S Garey Ave,Pomona,91766,Los Angeles,CA,34.05656541,-117.7500116
1694,Santa Monica Museum of Art (SMMoA),Large,"Museums, Visual Arts, History",2525 Michigan Ave.,Santa Monica,90404,Los Angeles,CA,34.02719217,-118.4683509
1696,Zimmer Children's Museum,Large,"Museums, Visual Arts, History","6505 Wilshire Blvd., Suite 100",Los Angeles,90048,Los Angeles,CA,34.06402522,-118.3698933
1698,Pasadena Playhouse,Very Large,Performing Arts,39 S. El Molino Ave.,Pasadena,91101,Los Angeles,CA,34.14455523,-118.1369544
1703,Long Beach Museum of Art,Large,"Museums, Visual Arts, History",2300 East Ocean Blvd.,Long Beach,90803,Los Angeles,CA,33.76398383,-118.1660295
1709,Keshet Chaim Dance Ensemble,Small,Performing Arts,4155 Dixie Canyon Avenue,Sherman Oaks,91423,Los Angeles,CA,34.14536509,-118.4252507
1710,"NALIP National Association of Latino Independent Producers, Inc.",Medium,Community,1323 Lincoln Boulevard,Santa Monica,90401,Los Angeles,CA,34.02061802,-118.4924713
1711,Project X Foundation for Art and Criticism (X-TRA Magazine),Small,"Museums, Visual Arts, History",PO Box 41-437,Los Angeles,90041,Los Angeles,CA,34.137442,-118.206258
1715,Kim Eung Hwa Korean Dance Academy,Very Small,Education,945 S. Western Ave. #102,Los Angeles,90006,Los Angeles,CA,34.05416043,-118.309824
1718,Indecent Exposure Theater Company,Very Small,Performing Arts,"2152 Beachwood Terrace, Los Angeles, CA",Los Angeles,90068,Los Angeles,CA,34.120733,-118.335397
1719,24th Street Theatre,Medium,Performing Arts,1117 W. 24th Street,Los Angeles,90007,Los Angeles,CA,34.0346328,-118.2845079
1722,LAXART,Large,"Museums, Visual Arts, History",2640 S. La Cienega Blvd,Los Angeles,90034,Los Angeles,CA,34.03347591,-118.3779714
1725,"Arts & Services for Disabled, Inc.",Large,Community,"3962 N Studebaker Rd, Suite 206",Long Beach,90808,Los Angeles,CA,33.82858969,-118.0991124
1729,Hands for Hope,Small,Community,PO Box 812198,Los Angeles,90081,Los Angeles,CA,34.057006,-118.26656
1730,Academy for New Musical Theatre,Small,Performing Arts,5628 Vineland Avenue,North Hollywood,91601,Los Angeles,CA,34.17268344,-118.370197
1732,Keith Glassman Dance & Performance,Very Small,Performing Arts,6306 Tipton Way,Los Angeles,90042,Los Angeles,CA,34.13095969,-118.1843331
1733,SINERGIA Theatre Group/Grupo de Teatro SINERGIA,Small,Performing Arts,2332 West Fourth Street,Los Angeles,90057,Los Angeles,CA,34.06343295,-118.2756461
1734,IFFLA (Indian Film Festival of Los Angeles),Small,"Broadcasters, Producers, TV, Film & Digital Media",400 Hauser Blvd,Los Angeles,90036,Los Angeles,CA,34.06735896,-118.3498328
1753,Enrichment Works,Very Small,Education,5605 Woodman Avenue,Van Nuys,91401,Los Angeles,CA,34.1722074,-118.4313312
1755,Women In Film,Large,Support & Advocacy,6100 Wilshire Blvd.,Los Angeles,90048,Los Angeles,CA,34.06265276,-118.361832
1757,REP (Repertory East Playhouse),Small,Performing Arts,24266 Main Street,Newhall,91321,Los Angeles,CA,34.37812874,-118.5272923
1759,"Los Angeles Choreographers and Dancers, Inc.",Small,Performing Arts,351 S. Virgil Ave.,Los Angeles,90020,Los Angeles,CA,34.06743866,-118.2872936
1771,USVAA (United States Veterans' Artists Alliance),Very Small,Support & Advocacy,10858 Culver Blvd.,Culver City,90230,Los Angeles,CA,34.01080317,-118.4050157
1774,Circle X Theatre Company,Small,Performing Arts,2118 Panorama Terrace,Los Angeles,90039,Los Angeles,CA,34.09887933,-118.2708684
1778,"South Bay Chamber Music Society, Inc.",Very Small,Performing Arts,P.O. Box 2313,Palos Verdes Peninsula,90274,Los Angeles,CA,33.772826,-118.370775
1787,Thai Community Arts and Cultural Center,Very Small,Community,3015 Ocean Ave.,Venice,90291,Los Angeles,CA,33.98297367,-118.4615383
1788,Sound Art,Small,Support & Advocacy,923 17th Street,Santa Monica,90403,Los Angeles,CA,34.03285337,-118.4898928
1790,Center Theatre Group,Very Large,Performing Arts,601 West Temple Street,Los Angeles,90012,Los Angeles,CA,34.05823194,-118.2464167
1795,Pacific Asia Museum,Large,"Museums, Visual Arts, History",46 North Los Robles Avenue,Pasadena,91101,Los Angeles,CA,34.14664958,-118.1413606
1801,Museum of Latin American Art,Large,"Museums, Visual Arts, History",628 Alamitos,Long Beach,90802,Los Angeles,CA,33.77434433,-118.1803774
1813,Chorale Bel Canto,Small,Performing Arts,P.O. Box 451,Whittier,90608,Los Angeles,CA,33.979318,-118.03053
1816,Les Figues Press,Very Small,"Broadcasters, Producers, TV, Film & Digital Media",2776 S. La Salle Ave,Los Angeles,90018,Los Angeles,CA,34.03019564,-118.3052702
1817,Piano Spheres,Small,Performing Arts,1260 Rancheros Road,Pasadena,91103,Los Angeles,CA,34.16092032,-118.1769434
1820,Pasadena Arts Council,Large,Support & Advocacy,65 S. Grand Avenue,Pasadena,91105,Los Angeles,CA,34.14395489,-118.1619163
1826,Los Angeles Chamber Ballet,Very Small,Performing Arts,1222 S. Westgate Ave Suite 102,Los Angeles,90025,Los Angeles,CA,34.04693597,-118.4627102
1830,Ballet Collective,Very Small,Performing Arts,907 N. Edgemont St,Los Angeles,90029,Los Angeles,CA,34.08821143,-118.2961428
1841,Skirball Cultural Center,Very Large,Community,2701 N. Sepulveda Blvd.,Los Angeles,90049,Los Angeles,CA,34.12123344,-118.4805569
1844,La Danserie,Very Small,Performing Arts,9759 Mason Avenue,Chatsworth,91311,Los Angeles,CA,34.24769848,-118.5798958
1853,Lula Washington Contemporary Dance Foundation,Medium,Performing Arts,3773 S. Crenshaw Blvd,Los Angeles,90016,Los Angeles,CA,34.01769159,-118.3356089
1862,Claremont Community School of Music,Medium,Education,951 West Foothill Boulevard,Claremont,91711,Los Angeles,CA,34.1070849,-117.7339208
1863,Yiddishkayt Los Angeles,Small,Community,3780 Wilshire Blvd,Los Angeles,90010,Los Angeles,CA,34.06160511,-118.308613
1867,Long Beach Opera,Large,Performing Arts,507 Pacific Avenue,Long Beach,90802,Los Angeles,CA,33.77298625,-118.1938012
1869,Santa Monica Conservancy,Very Small,"Museums, Visual Arts, History",P.O. Box 653,Santa Monica,90406,Los Angeles,CA,34.018176,-118.497198
1880,"Actors’ Gang, The",Large,Performing Arts,9070 Venice Blvd.,Culver City,90232,Los Angeles,CA,34.02646499,-118.3929625
1887,CMA (Claremont Museum of Art),Small,"Museums, Visual Arts, History",536 West First Street,Claremont,91711,Los Angeles,CA,34.09447858,-117.7211874
1889,Los Angeles Jewish Symphony,Small,Performing Arts,17455 La Cuesta Lane,Encino,91316,Los Angeles,CA,34.15242218,-118.512835
1890,Grand Performances,Large,Performing Arts,350 South Grand Avenue,Los Angeles,90071,Los Angeles,CA,34.05166168,-118.2513869
1891,Japanese American National Museum,Large,"Museums, Visual Arts, History",369 East First Street,Los Angeles,90012,Los Angeles,CA,34.04973926,-118.2385632
1895,"Inside Out Community Arts, Inc.",Medium,Education,2210 Lincoln Blvd,Venice,90291,Los Angeles,CA,33.99532295,-118.4542516
1896,Parson's Nose Productions,Very Small,Performing Arts,1325 Monterey Road,South Pasadena,91030,Los Angeles,CA,34.1119407,-118.1539853
1903,California Art Club,Medium,"Museums, Visual Arts, History",75 S. Grand Ave.,Pasadena,91105,Los Angeles,CA,34.14383587,-118.1619395
1921,Levitt Pavilion - Greater Los Angeles & Pasadena,Medium,Performing Arts,87 N. Raymond Avenue,Pasadena,91103,Los Angeles,CA,34.14681358,-118.1489925
