OrgID,Name,Size,Type,StAdd,City,Zip,County,State,Latitude,Longitude
1646,Medium Media Arts Organization,Medium,"Broadcasters, Producers, TV, Film & Digital Media",120 Judge John Aiso Street,Los Angeles,90012,Los Angeles,CA,34.05052611,-118.2406327
1711,Small Museum Arts Organization,Small,"Museums, Visual Arts, History",PO Box 41-437,Los Angeles,90041,Los Angeles,CA,34.137442,-118.206258
1703,Large Museum Arts Organization,Large,"Museums, Visual Arts, History",2300 East Ocean Blvd.,Long Beach,90803,Los Angeles,CA,33.76398383,-118.1660295
1841,Very Large Community Arts Organization,Very Large,Community,2701 N. Sepulveda Blvd.,Los Angeles,90049,Los Angeles,CA,34.12123344,-118.4805569
9241,Very Small Educational Arts Organization,Very Small,Education,5848 Fairbrook Street,Long Beach,90815,Los Angeles,CA,33.79224054,-118.1182077
1655,Large Performing Arts Organization,Large,Performing Arts,120 N. Judge John Aiso Street,Los Angeles,90012,Los Angeles,CA,34.05052611,-118.2406327
1853,Medium Performing Arts Organization,Medium,Performing Arts,3773 S. Crenshaw Blvd,Los Angeles,90016,Los Angeles,CA,34.01769159,-118.3356089
2023,Small Performing Arts Organization,Small,Performing Arts,3341 Caroline Ave,Culver City,90232,Los Angeles,CA,34.02877977,-118.3827296
2727,Medium Support Cultural Organization,Medium,Support & Advocacy,2225 Colorado Blvd.,Los Angeles,90041,Los Angeles,CA,34.02793038,-118.4754066
